OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocm47849535,http://www.worldcat.org/oclc/47849535,,,Creating America: A History of the United States,1026.G.1,"Evanston, IL : McDougal Littell, ©2001",ilu,2001,"973 C91a, 2001",eng,,,,,,,,
ocn166496606,http://www.worldcat.org/oclc/166496606,,,Literature and the language arts. Pine level : the American tradition.,1026.G.1,"St. Paul, Minn. : EMC/Paradigm Pub., 2001.",mnu,2001,PE 1121 .E63 2001,eng,,,,,,,,
ocm46858598,http://www.worldcat.org/oclc/46858598,,,"Different travellers, different eyes : artists' narratives of the American West, 1820-1920 / edited by Peter Wild, Donald A. Barclay, and James H. Maguire.",1026.G.1,"Fort Worth [Tex.] : Texas Christian University Press, ©2001.",txu,2001,N 6510 .D465 2001,eng,,,,,,,,
ocm51059093,http://www.worldcat.org/oclc/606976602,"Brizee-Bowen, Sandra L., 1947- author.",http://viaf.org/viaf/273520590,For all to see : the Little Bighorn Battle in Plains Indian art / by Sandra L. Brizee-Bowen.,1026.G.1,"Spokane, Wash. : A.H. Clark, 2003.",wau,2003,E 83.876 .B857 2003,eng,,,,,,,,
ocm49844014,http://www.worldcat.org/oclc/49844014,,,Created equal : a social and political history of the United States / Jacqueline Jones ... [et al.].,1026.G.1,"New York : Longman, ©2003.",nyu,2003,"973 C86e, 2003 ",eng,,,,,,,,
ocm52553781,http://www.worldcat.org/oclc/52553781,"Aller, Susan Bivin, author.",https://viaf.org/viaf/11529963/,Sitting Bull / by Susan Bivin Aller   [illustration by Tim Parlin].,1026.G.1,"Minneapolis : Lerner Publications Co., ©2004.",mnu,2004,E 99 .D1 S463 2004,eng,,,,,,,,
ocm77520666,http://www.worldcat.org/oclc/77520666,"Larson, Robert W., 1927- author.",http://viaf.org/viaf/274921625,Gall : Lakota war chief / Robert W. Larson.,1026.G.1,"Norman : University of Oklahoma Press, ©2007.",oku,2007,"970.2 38, D135la, L33g, 2007",eng,,,,,,,,
ocn225852410,http://www.worldcat.org/oclc/225852410,"Goetzmann, William H., author.",http://viaf.org/viaf/88089345,The West of the imagination / William H. Goetzmann and William N. Goetzmann.,1026.G.1,"Norman : University of Oklahoma Press, ©2009.",oku,2009,"709.978 G63w, 2009 ",eng,,,,,,,,
ocn630617822,http://www.worldcat.org/oclc/630317822,"Thomas, Rodney G., author.",http://viaf.org/viaf/132937161,Rubbing out Long Hair = Pehin Hanska kasota : the American Indian story of the Little Big Horn in art and word / by Rodney G. Thomas.,1026.G.1,"Spanaway, Wash. : Elk Plain Press, 2009.",wau,2009,"970.61 38, T45r, 2009 ",eng,,,,,,,,
ocn317383448,http://www.worldcat.org/oclc/317383448,"Flores, Dan L. (Dan Louie), 1948- artist.",http://viaf.org/viaf/39527039,Visions of the Big Sky : painting and photographing the northern Rocky Mountain West / Dan Flores.,1026.G.1,"Norman : University of Oklahoma Press, ©2010.",oku,2010,"760.0443678 F57v, 2010",eng,,,,,,,,
ocm01479963,http://www.worldcat.org/oclc/1479963,,,American heritage (SERIAL),1026.G.1,"Cooperstown, N.Y. : Published for the American Association for State and Local History.",nyu,2010,"973.05 A42a, 2010 ",eng,,,,,,,,
ocn693207132,http://www.worldcat.org/oclc/693207132,"Lesh, Bruce A., author.",http://viaf.org/viaf/73303722,Why won't you just tell us the answer?  : teaching historical thinking in grades 7-12 / Bruce A. Lesh   foreword by Edward L. Ayres.,1026.G.1,"Portland, Me. : Stenhouse Publishers, ©2011.",meu,2011,"973.071 L48w, 2011",eng,,,,,,,,
