OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocn952107586,http://www.worldcat.org/oclc/952107586,"Barra, Allen.",http://experiment.worldcat.org/entity/work/data/3223194978#Person/barra_allen,Pancho Villa's war (movie) / by Allen Barra.,85.1.1656,"Leesburg, Va. : Weider History Group, 2011.",vau,2007,"92 V54, B37p, 2011 ",eng,,,,,,,,
ocm37652980,http://www.worldcat.org/oclc/37652980,,,Powerful images : portrayals of Native America / Sarah E. Boehme ... [et al.]   foreword by Peter Hassrick   introduction by Dave Warren.,85.1.1795,"Seattle : Museums West in association with the University of Washington Press, ©1998.",wau,1998,"970.65 P67i, 1998 ",eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,85.1.530,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocm78908347,http://www.worldcat.org/oclc/78908347,"Orr, Cathy.","https://www.worldcat.org/wcidentities/np-orr,%20cathy",Promised land / by Cathy Orr.,85.1.700,"Sheridan, Wyo. : American Cowboy, 2003.",wyu,2003,AUTRY SERIALS - AME,eng,,,,,,,,
ocm50791485,http://www.worldcat.org/oclc/50791485,"Silva, Lee A., author.",http://viaf.org/viaf/91046499,Wyatt Earp : a biography of the legend / Lee A. Silva.,85.4.1,"Santa Ana, Calif. : Graphic Publishers, ©2002-2010.",cau,2002,F 786 .E18 S558 2002,eng,,,,,,,,
ocn796092508,http://www.worldcat.org/oclc/796092508,"Sletten, Rolf.",http://viaf.org/viaf/316567235,"Medora : boom, bust, and resurrection / by Rolf Sletten   design by Cody Sletten.",85.5.2,"Medora, ND : Theodore Roosevelt Medora Foundation, ©2012.",ndu,2012,F 631 .S64 2012 (F OLIO),eng,,,,,,,,
ocm771947523,http://www.worldcat.org/oclc/771947523,,,"The rampant colt : 2011, Winter, vol. 31, no. 4 / official magazine of the Colt Collectors Association, Inc.",85.5.6,"Billings, Mont. : Colt Collectors Association, Inc., 2011.",mtu,2011,TS 535 .C6 R36 2011,eng,,,,,,,,
ocn962942856,http://www.worldcat.org/oclc/962942856,,,How we got here. Colt makes all men equal.,85.5.6,"Silver Springs, MD : Discovery Education, [2016]",mdu,2016,TS 533.2 .H69 2016 (DVD),eng,,,,,,,,
ocm51269784,http://www.worldcat.org/oclc/51269784,,,Civil War times.,85.7.4,"Harrisburg, PA : PRIMEDIA History Group, ©2002-",vau,2002,E 461 .C562 2011,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.115.155,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.117.1,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.129,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.130,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocn900731320,http://www.worldcat.org/oclc/900731320,"Ogle, John, 1950-",https://www.worldcat.org/wcidentities/lccn-n98100748,The book of Colt memorabilia / by John Ogle.,87.118.155,"Minneapolis, Minn. : Blue Book Publications, Inc., ©2014.",mnu,2014,TS 537 .O34 2014,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.156,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocn900731320,http://www.worldcat.org/oclc/900731320,"Ogle, John, 1950-",https://www.worldcat.org/wcidentities/lccn-n98100748,The book of Colt memorabilia / by John Ogle.,87.118.156,"Minneapolis, Minn. : Blue Book Publications, Inc., ©2014.",mnu,2014,TS 537 .O34 2014,eng,,,,,,,,
ocn900731320,http://www.worldcat.org/oclc/900731320,"Ogle, John, 1950-",https://www.worldcat.org/wcidentities/lccn-n98100748,The book of Colt memorabilia / by John Ogle.,87.118.157,"Minneapolis, Minn. : Blue Book Publications, Inc., ©2014.",mnu,2014,TS 537 .O34 2014,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.161,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocm78231803,http://www.worldcat.org/oclc/78231803,"Tobias, Arthur.",http://viaf.org/viaf/31841895,Everything you always wanted to know about the stagecoach holdup scene / by Dr. Arthur Tobias.,87.118.162,"Aledo, Ill. : World-Wide Gun Report, 2001.",ilu,2001,TS 537 .T63 2001,eng,,,,,,,,
ocm79448816,http://www.worldcat.org/oclc/79448816,"Tobias, Arthur, author",http://viaf.org/viaf/31841895,Unrolling the Texas Rangers and Comanches Fight Scene on Colt's Walker and Dragoon Revolvers,87.118.165,"Aledo, Ill. : World-Wide Gun Report, 2005",ilu,2005,TS 537 .T63 2005,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.2,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocn962942856,http://www.worldcat.org/oclc/962942856,,,How we got here. Colt makes all men equal.,87.118.3,"Silver Springs, MD : Discovery Education, [2016]",mdu,2016,TS 533.2 .H69 2016 (DVD),eng,,,,,,,,
ocm771947523,http://www.worldcat.org/oclc/771947523,,,"The rampant colt : 2011, Winter, vol. 31, no. 4 / official magazine of the Colt Collectors Association, Inc.",87.118.4,"Billings, Mont. : Colt Collectors Association, Inc., 2011.",mtu,2011,TS 535 .C6 R36 2011,eng,,,,,,,,
ocm771947523,http://www.worldcat.org/oclc/771947523,,,"The rampant colt : 2011, Winter, vol. 31, no. 4 / official magazine of the Colt Collectors Association, Inc.",87.118.57,"Billings, Mont. : Colt Collectors Association, Inc., 2011.",mtu,2011,TS 535 .C6 R36 2011,eng,,,,,,,,
ocm771947523,http://www.worldcat.org/oclc/771947523,,,"The rampant colt : 2011, Winter, vol. 31, no. 4 / official magazine of the Colt Collectors Association, Inc.",87.118.75,"Billings, Mont. : Colt Collectors Association, Inc., 2011.",mtu,2011,TS 535 .C6 R36 2011,eng,,,,,,,,
ocm771947523,http://www.worldcat.org/oclc/771947523,,,"The rampant colt : 2011, Winter, vol. 31, no. 4 / official magazine of the Colt Collectors Association, Inc.",87.118.93,"Billings, Mont. : Colt Collectors Association, Inc., 2011.",mtu,2011,TS 535 .C6 R36 2011,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.118.94.7,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocn818734537,http://www.worldcat.org/oclc/818734537,,,Jews in the Los Angeles mosaic / edited by Karen S. Wilson.,87.152.1,"Los Angeles : Autry National Center of the American West, in association with University of California Press, [2013]",cau,2013,F 869 .L89 J5516 2013,eng,,,,,,,,
ocn818734537,http://www.worldcat.org/oclc/818734537,,,Jews in the Los Angeles mosaic / edited by Karen S. Wilson.,87.152.1,"Los Angeles : Autry National Center of the American West, in association with University of California Press, [2013]",cau,2013,F 869 .L89 J5516 2013,eng,,,,,,,,
ocn818734537,http://www.worldcat.org/oclc/818734537,,,Jews in the Los Angeles mosaic / edited by Karen S. Wilson.,87.169.4,"Los Angeles : Autry National Center of the American West, in association with University of California Press, [2013]",cau,2013,F 869 .L89 J5516 2013,eng,,,,,,,,
ocn818734537,http://www.worldcat.org/oclc/818734537,,,Jews in the Los Angeles mosaic / edited by Karen S. Wilson.,87.169.4,"Los Angeles : Autry National Center of the American West, in association with University of California Press, [2013]",cau,2013,F 869 .L89 J5516 2013,eng,,,,,,,,
ocm37652980,http://www.worldcat.org/oclc/37652980,,,Powerful images : portrayals of Native America / Sarah E. Boehme ... [et al.]   foreword by Peter Hassrick   introduction by Dave Warren.,87.176.2,"Seattle : Museums West in association with the University of Washington Press, ©1998.",wau,1998,"970.65 P67i, 1998 ",eng,,,,,,,,
ocn212879618,http://www.worldcat.org/oclc/212879618,,,"Buffalo Bill [videorecording (DVD)] / WGBH Boston   a HiddenHill Productions film for American Experience   written, produced and directed by Rob Rapley.",87.182.24,"[Alexandria, Va.] : Distributed by PBS Home Video, ©2008.",mau,2008,F 594 .B63 B844 2008 (DVD),eng,,,,,,,,
ocn212879618,http://www.worldcat.org/oclc/212879618,,,"Buffalo Bill [videorecording (DVD)] / WGBH Boston   a HiddenHill Productions film for American Experience   written, produced and directed by Rob Rapley.",87.182.45,"[Alexandria, Va.] : Distributed by PBS Home Video, ©2008.",mau,2008,F 594 .B63 B844 2008 (DVD),eng,,,,,,,,
ocn212879618,http://www.worldcat.org/oclc/212879618,,,"Buffalo Bill [videorecording (DVD)] / WGBH Boston   a HiddenHill Productions film for American Experience   written, produced and directed by Rob Rapley.",87.182.59,"[Alexandria, Va.] : Distributed by PBS Home Video, ©2008.",mau,2008,F 594 .B63 B844 2008 (DVD),eng,,,,,,,,
ocm37652980,http://www.worldcat.org/oclc/37652980,,,Powerful images : portrayals of Native America / Sarah E. Boehme ... [et al.]   foreword by Peter Hassrick   introduction by Dave Warren.,87.29.2,"Seattle : Museums West in association with the University of Washington Press, ©1998.",wau,1998,"970.65 P67i, 1998 ",eng,,,,,,,,
ocn932318790,http://www.worldcat.org/oclc/932318790,,,"Western heroes of pulp fiction : dime novel to pop culture : October 24, 2015 - February 14, 2016.",87.34.72,"Tucson, Arizona : Tucson Museum of Art and Historic Block, [2015]",azu,2015,N 7760 .W478 2015,eng,,,,,,,,
ocn174963973,http://www.worldcat.org/oclc/174963973,,,"La mythologie de l'Ouest dans l'art americain, 1830-1940 / sous la direction de Laurent Salome   [auteurs, Joan Carpenter Troccoli ... et al.].",87.43.1,"Cinisello Balsamo, Milan : Silvana, ©2007.",it ,2007,N 8214.5 .U6 M981 2007,fre,,,,,,,,
ocm82221476,http://www.worldcat.org/oclc/109152566,,,"South Dakota history : 2002 Fall, vol. 32, no. 3.",87.46.1,"Pierre, S.D. : State Historical Society, 2002.",sdu,2002,F 646 .S8 S6 2002,eng,,,,,,,,
ocn914417681,http://www.worldcat.org/oclc/914417681,,,"Frederic Remington : a catalogue raisonne / edited by Peter H. Hassrick   With Contributions by Sarah E. Boehme, Doyle L. Buhler, Laura F. Fry, Peter H. Hassrick, B. Byron Price, Melissa W. Speidel, and Ron Tyler   Foreword by Bruce B. Eldredge.",87.46.1,"Norman : University of Oklahoma Press, 2016.",oku,2016,N 6537 .R4 A4 2016 ,eng,,,,,,,,
ocm61478819,http://www.worldcat.org/oclc/61478819,"McNab, Chris, editor.",http://viaf.org/viaf/35682957,Gunfighters: The Outlaws and Their Weapons / edited by Chris McNab,87.56.3,"San Diego, Calif. : Thunder Bay Press, ©2005.",cau,2005,F 596 .G89 2005 ,eng,,,,,,,,
ocn186443531,http://www.worldcat.org/oclc/186443531,Pacific Symphony Orchestra.,http://viaf.org/viaf/146709116,The West : music inspired by the American frontier / Orange County's Pacific Symphony.,87.94.27,"[Santa Ana, Calif. : Orange County's Pacific Symphony], 2008.",cau,2008,"780.978 P11w, 2008 ",eng,,,,,,,,
ocm37652980,http://www.worldcat.org/oclc/37652980,,,Powerful images : portrayals of Native America / Sarah E. Boehme ... [et al.]   foreword by Peter Hassrick   introduction by Dave Warren.,87.98.4,"Seattle : Museums West in association with the University of Washington Press, ©1998.",wau,1998,"970.65 P67i, 1998 ",eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.106.1,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocm22003579,http://www.worldcat.org/oclc/643904431,,,"The West as America : reinterpreting images of the frontier, 1820-1920 / edited by William H. Truettner   with contributions by Nancy K. Anderson ... [et al.]",88.108.1,"Washington : Published for the National Museum of American Art by the Smithsonian Institution Press, ©1991.",dcu,1991,"978.02 W47, 1991",eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.1,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocn225852410,http://www.worldcat.org/oclc/225852410,"Goetzmann, William H., author.",http://viaf.org/viaf/88089345,The West of the imagination / William H. Goetzmann and William N. Goetzmann.,88.108.1,"Norman : University of Oklahoma Press, ©2009.",oku,2009,"709.978 G63w, 2009 ",eng,,,,,,,,
ocn818866213,http://www.worldcat.org/oclc/818866213,,,American encounters : genre painting and everyday life.,88.108.1,"Chicago : Terra Foundation for American Art, [2012]",ilu,2012,ND 1451.5 .A44 2012,eng,,,,,,,,
ocm41662761,http://www.worldcat.org/oclc/41662761,"Carter, Curtis L.",http://viaf.org/viaf/162695491,"Children in art : a century of change / Curtis L. Carter  with essays by Anne Higonnet, James Marten.",88.108.10,"Milwaukee, Wis. : Patrick and Beatrice Haggerty Museum of Art, Marquette University, ©1999.",wiu,1999,MIMSY Collection,eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.10,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocn896126716,http://www.worldcat.org/oclc/896126716,,,"Painted journeys : the art of John Mix Stanley / Peter H. Hassrick and Mindy N. Besaw   with Emily C. Burns, Scott Manning Stevens, Melissa Speidel, Jacquelyn Sparks, Lisa Strong, and Emily C. Wilson   Foreword by Bruce B. Eldredge.",88.108.10,"Norman : University of Oklahoma Press, 2015.",oku,2015,ND 237 .S648 A4 2015,eng,,,,,,,,
ocm38504227,http://www.worldcat.org/oclc/38504227,"Harvey, Eleanor Jones, author",http://viaf.org/viaf/166045044,Painted Sketch: American Impressions From Nature 1830-1880,88.108.14,"[Dallas, Tex.] : Dallas Museum of Art in association with H.N. Abrams, ©1998.",txu,1998,ND 1351.5 .H27 1998 ,eng,,,,,,,,
ocm1716802,http://www.worldcat.org/oclc/1716802,,,Montana : the magazine of western history 2018 Spring.,88.108.14,"Helena : Historical Society of Montana, 2018.",mtu,2018,F 726 .M65 2018,eng,,,,,,,,
ocn995805939,http://www.worldcat.org/oclc/995805939,,,"Albert Bierstadt : witness to a changing West / Peter H. Hassrick   with contributions by Arthur Amiotte, Emily C. Burns, Dan L. Flores, Laura F. Fry, Karen B. McWhorter, and Melissa W. Speidel   foreword by Bruce B. Eldredge.",88.108.14,"Norman : University of Oklahoma Press   Cody, Wyoming : Buffalo Bill Center of the West, [2018]",oku,2018,ND 237 .B585 A4 2018,eng,,,,,,,,
ocn932318790,http://www.worldcat.org/oclc/932318790,,,"Western heroes of pulp fiction : dime novel to pop culture : October 24, 2015 - February 14, 2016.",88.108.15,"Tucson, Arizona : Tucson Museum of Art and Historic Block, [2015]",azu,2015,N 7760 .W478 2015,eng,,,,,,,,
ocm24844819,http://www.worldcat.org/oclc/24844819,"Sweeney, J. Gray, 1943- author.",http://viaf.org/viaf/3755685,Masterpieces of western American art / J. Gray Sweeney.,88.108.17,"New York : Mallard Press, 1991.",nyu,1991,N 8214.5 .U6 S94 1991 ,eng,,,,,,,,
ocm38504227,http://www.worldcat.org/oclc/38504227,"Harvey, Eleanor Jones, author",http://viaf.org/viaf/166045044,Painted Sketch: American Impressions From Nature 1830-1880,88.108.17,"[Dallas, Tex.] : Dallas Museum of Art in association with H.N. Abrams, ©1998.",txu,1998,ND 1351.5 .H27 1998 ,eng,,,,,,,,
ocm38504227,http://www.worldcat.org/oclc/38504227,"Harvey, Eleanor Jones, author",http://viaf.org/viaf/166045044,Painted Sketch: American Impressions From Nature 1830-1880,88.108.18,"[Dallas, Tex.] : Dallas Museum of Art in association with H.N. Abrams, ©1998.",txu,1998,ND 1351.5 .H27 1998 ,eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.2,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocm84639502,http://www.worldcat.org/oclc/84639502,,,"Montana : the magazine of western history. Summer 2006, volume 56, number 2.",88.108.2,"Helena, Mont. : Historical Society of Montana, 2006.",mtu,2006,F 726 .M74 2006,eng,,,,,,,,
ocn844731576,http://www.worldcat.org/oclc/844731576,"Tolles, Thayer, author.",https://viaf.org/viaf/219767941/,"The American West in bronze, 1850-1925 / Thayer Tolles, Thomas Brent Smith   with contributions by Carol Clark, Brian W. Dippie, Peter H. Hassrick, Karen Lemmey, and Jessica Murphy.",88.108.2,"New York : The Metropolitan Museum of Art, [2013]",nyu,2013,NK 7912 .T65 2013,eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.21,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocn186443531,http://www.worldcat.org/oclc/186443531,Pacific Symphony Orchestra.,http://viaf.org/viaf/146709116,The West : music inspired by the American frontier / Orange County's Pacific Symphony.,88.108.21,"[Santa Ana, Calif. : Orange County's Pacific Symphony], 2008.",cau,2008,"780.978 P11w, 2008 ",eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.22,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocn174963973,http://www.worldcat.org/oclc/174963973,,,"La mythologie de l'Ouest dans l'art americain, 1830-1940 / sous la direction de Laurent Salome   [auteurs, Joan Carpenter Troccoli ... et al.].",88.108.22,"Cinisello Balsamo, Milan : Silvana, ©2007.",it ,2007,N 8214.5 .U6 M981 2007,fre,,,,,,,,
ocn186443531,http://www.worldcat.org/oclc/186443531,Pacific Symphony Orchestra.,http://viaf.org/viaf/146709116,The West : music inspired by the American frontier / Orange County's Pacific Symphony.,88.108.22,"[Santa Ana, Calif. : Orange County's Pacific Symphony], 2008.",cau,2008,"780.978 P11w, 2008 ",eng,,,,,,,,
ocn844731576,http://www.worldcat.org/oclc/844731576,"Tolles, Thayer, author.",https://viaf.org/viaf/219767941/,"The American West in bronze, 1850-1925 / [Thayer Tolles, Thomas Brent Smith   with contributions by Carol Clark, Brian W. Dippie, Peter H. Hassrick, Karen Lemmey, and Jessica Murphy].",88.108.22,"New York : The Metropolitan Museum of Art, [2013]",nyu,2013,NK 7912 .T65 2013,eng,,,,,,,,
ocn995805939,http://www.worldcat.org/oclc/995805939,,,"Albert Bierstadt : witness to a changing West / Peter H. Hassrick   with contributions by Arthur Amiotte, Emily C. Burns, Dan L. Flores, Laura F. Fry, Karen B. McWhorter, and Melissa W. Speidel   foreword by Bruce B. Eldredge.",88.108.22,"Norman : University of Oklahoma Press   Cody, Wyoming : Buffalo Bill Center of the West, [2018]",oku,2018,ND 237 .B585 A4 2018,eng,,,,,,,,
ocn914417681,http://www.worldcat.org/oclc/914417681,,,"Frederic Remington : a catalogue raisonne / edited by Peter H. Hassrick   With Contributions by Sarah E. Boehme, Doyle L. Buhler, Laura F. Fry, Peter H. Hassrick, B. Byron Price, Melissa W. Speidel, and Ron Tyler   Foreword by Bruce B. Eldredge.",88.108.24,"Norman : University of Oklahoma Press, 2016.",oku,2016,N 6537 .R4 A4 2016 ,eng,,,,,,,,
ocm37713895,http://www.worldcat.org/oclc/37713895,"Johnson, Ronald.",http://experiment.worldcat.org/entity/work/data/937744569#Person/johnson_ronald,Visions : career guidance and life management for African American men / by Ronald Johnson and Constance Gipson.,88.108.26,"Williams, Calif. : Connections Leadership Project, Williams Unified School District, ©1996.",cau,1996,HV 3185 .W54 1996,eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.27,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocm18654422,http://www.worldcat.org/oclc/18654422,,,Wild West.,88.108.3,"[Leesburg, VA : Empire Press, ©1988-",vau,1988,AUTRY SERIALS - WIL,eng,,,,,,,,
ocm48654272,http://www.worldcat.org/oclc/48654272,"Smith, Joan Irvine, author.",http://viaf.org/viaf/31931440,"California : this golden land of promise / Joan Irvine Smith, Jean Stern   foreword by James L. Doti   timeline by James Irvine Swinden.",88.108.3,"Irvine, Calif. : Chapman University Press : Irvine Museum, ©2001.",cau,2001,F 862 .S635 2001 ,eng,,,,,,,,
ocm84652037,http://www.worldcat.org/oclc/84652037,"Boehme, Sarah E.",http://viaf.org/viaf/16289583,The art of William Ranney / by Sarah E. Boehme.,88.108.3,"[Leawood, Kan. : American Arts Media, 2006]",ksu,2006,ND 237 .R135 B67 2006,eng,,,,,,,,
ocn225852410,http://www.worldcat.org/oclc/225852410,"Goetzmann, William H., author.",http://viaf.org/viaf/88089345,The West of the imagination / William H. Goetzmann and William N. Goetzmann.,88.108.3,"Norman : University of Oklahoma Press, ©2009.",oku,2009,"709.978 G63w, 2009 ",eng,,,,,,,,
ocn659806696,http://www.worldcat.org/oclc/659806696,,,"Hoofbeats and heartbeats : the horse in American art / curator, Ingrid Cartwright   coordinating curator, Janie Welker.",88.108.3,"[Lexington, Ky.] : The Art Museum at the University of Kentucky, ©2010.",kyu,2010,N 7668 .H6 H65 2010,eng,,,,,,,,
ocn880418841,http://www.worldcat.org/oclc/880418841,"David B. Warren Symposium (4th : 2013 : Museum of Fine Arts, Houston)",http://experiment.worldcat.org/entity/work/data/4202921533#Meeting/david_b_warren_symposium_4th_2013_museum_of_fine_arts_houston,American material culture and the Texas experience : itinerant and immigrant artists and artisans in 19th-century Texas.,88.108.3,"Houston : The Museum of Fine Arts, Houston, 2014.",txu,2014,N 6530 .T4 D38 2013,eng,,,,,,,,
ocm82774389,http://www.worldcat.org/oclc/82774389,"Scott, Amy, author.",http://experiment.worldcat.org/entity/person/data/2739560602,Art at the Autry Museum / by Amy Scott.,88.108.30,"Manhattan, Kan. : Journal of the West, Inc., 2001.",ksu,2001,AUTRY SERIALS - JOU,eng,,,,,,,,
ocn174963973,http://www.worldcat.org/oclc/174963973,,,"La mythologie de l'Ouest dans l'art americain, 1830-1940 / sous la direction de Laurent Salome   [auteurs, Joan Carpenter Troccoli ... et al.].",88.108.31,"Cinisello Balsamo, Milan : Silvana, ©2007.",it ,2007,N 8214.5 .U6 M981 2007,fre,,,,,,,,
ocn173182697,http://www.worldcat.org/oclc/173182697,"Podmaniczky, Christine B. (Christine Bauer)",http://viaf.org/viaf/200725029,"N.C. Wyeth : catalogue raisonne of paintings / Christine B. Podmaniczky, Joyce Hill Stoner.",88.108.31,"[Wilmington, Del.] : Wyeth Foundation for American Art   Chadds Ford : Brandywine River Museum, ©2008.",pau,2008,ND 237 .W94 A40 2008 ,eng,,,,,,,,
ocn173182697,http://www.worldcat.org/oclc/173182697,"Podmaniczky, Christine B. (Christine Bauer)",http://viaf.org/viaf/200725029,"N.C. Wyeth : catalogue raisonne of paintings / Christine B. Podmaniczky, Joyce Hill Stoner.",88.108.31,"[Wilmington, Del.] : Wyeth Foundation for American Art   Chadds Ford : Brandywine River Museum, ©2008.",pau,2008,ND 237 .W94 A40 2008 ,eng,,,,,,,,
ocm52418114,http://www.worldcat.org/oclc/52418114,"Arcand, Bernard.",http://viaf.org/viaf/103658881,Cow-boy dans l'ame : sur la piste du Western et du country / Bernard Arcand et Serge Bouchard.,88.108.32,"Montreal : Editions de l'homme, ©2002.",quc,2002,F 596 .A66 2002,fre,,,,,,,,
ocn896126716,http://www.worldcat.org/oclc/896126716,,,"Painted journeys : the art of John Mix Stanley / Peter H. Hassrick and Mindy N. Besaw   with Emily C. Burns, Scott Manning Stevens, Melissa Speidel, Jacquelyn Sparks, Lisa Strong, and Emily C. Wilson   Foreword by Bruce B. Eldredge.",88.108.33,"Norman : University of Oklahoma Press, 2015.",oku,2015,ND 237 .S648 A4 2015,eng,,,,,,,,
ocn896126716,http://www.worldcat.org/oclc/896126716,,,"Painted journeys : the art of John Mix Stanley / Peter H. Hassrick and Mindy N. Besaw   with Emily C. Burns, Scott Manning Stevens, Melissa Speidel, Jacquelyn Sparks, Lisa Strong, and Emily C. Wilson   Foreword by Bruce B. Eldredge.",88.108.4,"Norman : University of Oklahoma Press, 2015.",oku,2015,ND 237 .S648 A4 2015,eng,,,,,,,,
ocm37652980,http://www.worldcat.org/oclc/37652980,,,Powerful images : portrayals of Native America / Sarah E. Boehme ... [et al.]   foreword by Peter Hassrick   introduction by Dave Warren.,88.108.41,"Seattle : Museums West in association with the University of Washington Press, ©1998.",wau,1998,"970.65 P67i, 1998 ",eng,,,,,,,,
ocm37465314,http://www.worldcat.org/oclc/37465314,"Driesbach, Janice Tolhurst, author.",http://viaf.org/viaf/235047183,"Art of the gold rush / by Janice T. Driesbach, Harvey L. Jones, and Katherine Church Holland.",88.108.58,"Oakland, Calif. : Oakland Museum of California, 1998",cau,1998,N 6530 .C2 D75 1998,eng,,,,,,,,
ocn227205718,http://www.worldcat.org/oclc/973440871,"Anderson, Nancy K.",http://experiment.worldcat.org/entity/person/data/2632614980,George de Forest Brush : the Indian paintings / Nancy K. Anderson   with contributions by James C. Boyles ... [et al.].,88.108.65,"Washington, [D.C.] : National Gallery of Art   Aldershot, Hampshire   Burlington, VT : In association with Lund Humphries, 2008.",dcu,2008,ND 237 .B88 A4 2008,eng,,,,,,,,
ocm81613494,http://www.worldcat.org/oclc/81613494,"Jacobson, Edith.",http://viaf.org/viaf/108262059,Catlin showed us / by Edith Jacobson.,88.108.7,"Cody, Wyo. : Buffal Bill Historical Center, 2000.",wyu,2000,AUTRY SERIALS - POI,eng,,,,,,,,
